"KNN" "Log Reg" "Log Reg (LASSO)" "LDA" "QDA" "NB - Kernel - No PC" "NB - Normal - No PC" "NB - Kernel - PC" "NB - Normal - PC" "RF" "NN" "SVM"
0.232 0.208 0.208 0.216 0.212 0.196 0.224 0.232 0.224 0.184 0.216 0.212
0.232 0.192 0.208 0.208 0.2 0.204 0.244 0.248 0.208 0.168 0.22 0.2
0.228 0.188 0.196 0.196 0.212 0.192 0.224 0.232 0.212 0.188 0.204 0.188
0.22 0.22 0.212 0.236 0.228 0.232 0.264 0.252 0.224 0.18 0.212 0.2
0.244 0.216 0.228 0.24 0.244 0.28 0.296 0.252 0.248 0.204 0.232 0.208
0.22 0.196 0.204 0.2 0.204 0.228 0.244 0.228 0.208 0.2 0.188 0.192
0.228 0.228 0.244 0.252 0.244 0.216 0.276 0.276 0.236 0.216 0.236 0.228
0.224 0.196 0.184 0.18 0.224 0.22 0.248 0.264 0.216 0.184 0.18 0.176
0.212 0.216 0.208 0.212 0.216 0.192 0.228 0.212 0.18 0.168 0.208 0.204
0.208 0.188 0.204 0.196 0.208 0.196 0.216 0.252 0.216 0.176 0.192 0.176
0.256 0.216 0.22 0.208 0.252 0.24 0.252 0.264 0.224 0.168 0.216 0.24
0.24 0.192 0.208 0.212 0.248 0.22 0.248 0.264 0.252 0.184 0.216 0.204
0.256 0.192 0.204 0.204 0.236 0.24 0.28 0.268 0.252 0.224 0.208 0.216
0.232 0.228 0.22 0.24 0.24 0.236 0.26 0.248 0.22 0.208 0.232 0.216
0.232 0.232 0.228 0.236 0.252 0.212 0.232 0.244 0.236 0.184 0.208 0.228
0.192 0.204 0.196 0.192 0.196 0.168 0.184 0.2 0.176 0.164 0.184 0.184
0.192 0.168 0.168 0.172 0.26 0.204 0.236 0.24 0.228 0.168 0.188 0.172
0.212 0.196 0.188 0.176 0.208 0.244 0.276 0.256 0.204 0.184 0.196 0.18
0.24 0.196 0.188 0.184 0.24 0.216 0.212 0.212 0.192 0.212 0.192 0.192
0.22 0.232 0.22 0.216 0.204 0.2 0.244 0.232 0.224 0.184 0.212 0.216
